orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,disposition,survey
7.82502168,1.2,2.186,520.8,494.0,14.05,3950.0,0.493,4.754,CONFIRMED,Kepler
3.895936525,7.34,2.3111,8544.8,1005.0,241.62,5557.0,0.774,4.592,CONFIRMED,Kepler
22.36646466,2.32,5.228,986.8,536.0,19.45,5395.0,0.734,4.615,CONFIRMED,Kepler
1.625522174,9.73,2.38963,7969.0,1579.0,1467.41,5539.0,1.106,4.322,CONFIRMED,Kepler
19.620346923,13.6,2.0038,21725.0,643.0,40.39,5710.0,0.905,4.492,CANDIDATE,Kepler
7.544039,17.47,6.222,322.6,838.0,116.46,5657.0,0.824,4.567,FALSE POSITIVE,Kepler
9.02930689,2.57,3.1449,1019.8,757.0,77.75,5349.0,0.82,4.526,CONFIRMED,Kepler
10.328035714,13.28,7.7915,16918.0,843.0,119.31,5627.0,1.024,4.359,FALSE POSITIVE,Kepler
143.2063047,8.9,8.9302,10566.0,308.0,2.14,5485.0,0.867,4.556,CONFIRMED,Kepler
6.164876,0.79,3.262,55.8,1021.0,256.35,5854.0,1.012,4.406,CONFIRMED,Kepler
60.32494216,12.19,6.6188,20280.0,411.0,6.77,5485.0,0.867,4.556,CONFIRMED,Kepler
29.1598615,1.91,4.803,488.0,524.0,17.85,5485.0,0.867,4.556,CONFIRMED,Kepler
1.540397253,25.69,2.1541,816.1,1470.0,1105.68,5663.0,0.915,4.53,FALSE POSITIVE,Kepler
2.99025443,1.7,5.414,589.2,918.0,168.45,4667.0,0.731,4.578,FALSE POSITIVE,Kepler
1.594745374,11.3,1.9604,15044.0,1539.0,1329.42,5934.0,0.893,4.491,CONFIRMED,Kepler
4.783002698,2.5,2.335,1008.7,886.0,145.48,5170.0,0.807,4.574,CONFIRMED,Kepler
20.50588921,3.41,4.0595,2105.5,518.0,17.06,4905.0,0.761,4.544,CONFIRMED,Kepler
3.340218842,2.03,1.9104,1632.6,656.0,43.73,3950.0,0.493,4.754,CONFIRMED,Kepler
2.507089906,30.26,2.0067,1339.2,1326.0,730.47,5926.0,0.939,4.506,FALSE POSITIVE,Kepler
18.64932728,3.12,4.4056,893.6,701.0,57.13,5775.0,1.053,4.405,CONFIRMED,Kepler
4.90144976,1.7,4.1654,140.7,1262.0,598.74,5847.0,1.402,4.191,CONFIRMED,Kepler
9.75192101,2.76,4.793,418.0,870.0,135.66,5775.0,1.053,4.405,CONFIRMED,Kepler
38.5576546,4.02,5.794,993.0,550.0,21.71,5775.0,1.053,4.405,CONFIRMED,Kepler
3.525632539,11.58,2.59959,22335.0,975.0,213.12,5150.0,0.793,4.572,CONFIRMED,Kepler
34.84398644,7.61,2.9315,4523.6,511.0,16.1,5509.0,0.871,4.482,CANDIDATE,Kepler
7.748094239,5.52,3.5957,2472.1,964.0,204.39,5973.0,1.085,4.439,CONFIRMED,Kepler
23.96793669,1.8,3.827,1182.3,329.0,2.77,3747.0,0.524,4.728,CONFIRMED,Kepler
8.29561738,1.82,1.3421,824.3,469.0,11.39,3747.0,0.524,4.728,CONFIRMED,Kepler
8.11437482,2.1,2.2736,1558.0,460.0,10.55,3692.0,0.517,4.753,CONFIRMED,Kepler
38.036729482,27.5,4.34617,82872.0,500.0,14.81,5575.0,0.932,4.521,FALSE POSITIVE,Kepler
4.64090031,30.09,35.512,2450.6,1155.0,421.08,6463.0,0.826,4.5,CANDIDATE,Kepler
3.747838198,13.65,5.0642,616.0,1031.0,266.76,5514.0,0.826,4.569,FALSE POSITIVE,Kepler
