orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,label,survey
4.70847097,19.58,6.0503,32622.0,1202.0,493.0,6214.0,1.061,4.391,0,Kepler
3.18740907,0.81,6.19,137.5,919.0,168.43,4808.0,0.715,4.589,0,Kepler
190.783023,71.66,4.069,1385.0,989.0,226.51,5013.0,19.813,2.394,0,Kepler
1.805376,12.0157766,2.0790249,21680.3724998,1226.8109303,535.3422852,5090.0,0.820538,4.54,1,TESS
39.206808648,50.2,6.24701,186980.0,516.0,16.82,5945.0,0.861,4.545,0,Kepler
7.77241144,1.69,5.272,286.9,938.0,183.58,6014.0,0.993,4.486,0,Kepler
14.2005007,13.28,5.232,80.6,843.0,119.41,6332.0,1.065,4.406,0,Kepler
4.60690612,0.9,4.176,137.5,950.0,192.38,5529.0,0.775,4.583,0,Kepler
3.3610013,12.7400071,2.5685869,24081.7810523,1036.7433695,273.0272959,5375.0,0.817705,4.49371,1,TESS
1.267693801,64.84,3.57993,333640.0,1606.0,1572.85,5446.0,0.961,4.388,0,Kepler
31.1748311,1.31,3.79,200.2,585.0,27.62,6086.0,0.921,4.511,1,Kepler
3.486318703,54.53,2.7904,60135.0,1201.0,491.1,5780.0,1.0,4.438,0,Kepler
0.341842017,1.72,1.1554,285.6,2023.0,3991.16,5016.0,0.747,4.601,1,Kepler
13.779711352,47.58,7.63871,25479.0,1376.0,848.24,6444.0,2.947,3.643,0,Kepler
1.0339,5.37338,1.404,520.0,1993.0,2619.59,6444.0,2.28,3.84,0,TESS
3.340218842,2.03,1.9104,1632.6,656.0,43.73,3950.0,0.493,4.754,1,Kepler
27.8096898,0.9491858,2.9558823,406.8232517,272.8976058,1.3107501,3482.0,0.419457,4.438,1,TESS
2.9479689,9.41494,1.584,24090.0,639.0,27.6969,3588.0,0.58,4.67,1,TESS
20.67876365,2.42,4.6395,323.9,749.0,74.36,5865.0,1.272,4.266,1,Kepler
3.905081685,12.78,2.8213,21340.0,1046.0,282.59,5543.0,0.887,4.54,1,Kepler
3.268695042,16.91,3.45188,10091.0,1597.0,1539.0,5927.0,1.691,4.046,1,Kepler
3.4040139,5.34279,4.837,935.0,4701.0,81123.4,9622.0,1.65,4.39,0,TESS
12.18420006,2.59,2.5014,499.3,819.0,106.52,5771.0,1.068,4.374,1,Kepler
1.11205787,1.02,1.459,118.7,1799.0,2484.64,6098.0,0.932,4.488,0,Kepler
6.7391601,30.8876,2.537,3040.0,2416.0,5656.73,10341.0,3.39,3.8,0,TESS
0.660655454,16.81,7.111,566.9,2497.0,9210.84,6520.0,1.215,4.375,0,Kepler
