orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,survey,original_index
8.98128472,7.19,5.0397,4924.0,898.0,153.36,5977.0,1.022,4.473,Kepler,1188
192.667139,3.64,5.443,1148.3,283.0,1.52,5401.0,0.878,4.487,Kepler,1194
52.971584,29.02,3.4632,3882.6,402.0,6.19,5204.0,0.789,4.55,Kepler,1202
5.91393977,1.07,0.562,84.0,1112.0,361.0,6194.0,1.129,4.415,Kepler,1205
14.62399621,21.92,2.193,1082.0,681.0,50.91,5753.0,0.815,4.57,Kepler,1208
9.771462706,10.15,1.767,6933.2,799.0,96.39,5812.0,0.853,4.551,Kepler,1211
281.5628889,10.83,8.853,21012.0,214.0,0.49,4810.0,0.776,4.536,Kepler,1212
6.93910337,1.41,2.977,614.7,445.0,9.28,3638.0,0.42,4.844,Kepler,1227
10.19154678,1.39,6.165,61.3,1144.0,404.17,6212.0,1.684,4.049,Kepler,1237
12.89006728,1.93,3.555,602.5,620.0,34.99,4915.0,0.812,4.512,Kepler,1240
23.210509958,21.19,3.09802,28737.0,595.0,29.69,5875.0,0.809,4.572,Kepler,1241
4.74666128,1.3,2.093,256.8,865.0,132.4,4915.0,0.812,4.512,Kepler,1243
23.02028478,7.58,3.544,5077.8,604.0,31.4,5613.0,0.956,4.496,Kepler,1251
0.708621057,1.2,1.5041,187.5,1846.0,2741.07,5422.0,0.887,4.484,Kepler,1266
169.4976085,9.06,7.77,12192.0,272.0,1.29,5270.0,0.787,4.592,Kepler,1273
0.917568975,11.92,2.0654,15805.0,1748.0,2197.57,5713.0,0.893,4.541,Kepler,1280
7.79668781,2.44,4.6699,361.3,1116.0,366.42,6521.0,1.276,4.352,Kepler,1284
7.00447892,1.19,2.669,231.4,754.0,76.26,4883.0,0.808,4.515,Kepler,1293
30.69395532,13.72,2.9512,18121.0,614.0,33.69,6137.0,1.018,4.46,Kepler,1297
29.481061268,16.61,3.6636,11871.0,571.0,25.1,5631.0,0.901,4.41,Kepler,1299
32.7737631,5.0,3.416,564.5,686.0,52.22,5640.0,1.534,4.076,Kepler,1308
77.63424586,9.4,4.1002,16612.0,325.0,2.65,4812.0,0.755,4.548,Kepler,1318
32.85862571,2.31,3.1483,162.8,691.0,53.85,5899.0,1.414,4.135,Kepler,1345
2.229326354,0.6,1.9946,49.1,1273.0,621.53,5587.0,0.865,4.525,Kepler,1347
8.56267266,2.26,1.53,608.1,768.0,82.22,5029.0,0.93,4.429,Kepler,1352
17.79108667,2.88,2.662,414.2,830.0,112.09,5855.0,1.34,4.148,Kepler,1386
63.0732241,17.8,5.397,671.3,1077.0,317.78,6234.0,6.354,3.209,Kepler,1390
8.710442022,3.61,0.9425,1196.4,760.0,78.75,5416.0,0.809,4.575,Kepler,1403
6.35585682,0.86,1.55,176.6,503.0,15.1,3706.0,0.522,4.747,Kepler,1436
4.22464216,4.31,1.403,987.0,1279.0,631.55,6343.0,1.14,4.408,Kepler,1453
46.2991052,4.33,5.2481,854.9,592.0,29.04,5396.0,1.507,4.035,Kepler,1478
6.31219171,2.17,4.9377,403.7,1096.0,342.04,6322.0,1.075,4.426,Kepler,1490
86.049055,2.06,29.28,429.9,410.0,6.68,5733.0,0.997,4.432,Kepler,1496
5.007414194,8.8,1.3584,4413.9,1114.0,363.75,5957.0,1.042,4.417,Kepler,1511
17.50441726,3.56,4.2585,725.4,824.0,108.78,5815.0,1.329,4.16,Kepler,1515
86.7490807,2.23,9.179,547.1,398.0,5.94,5579.0,0.97,4.419,Kepler,1529
3.261759866,8.01,1.7593,3876.1,1262.0,599.54,6131.0,0.945,4.497,Kepler,1533
20.92735802,17.36,3.4256,8091.0,735.0,69.08,6126.0,1.109,4.358,Kepler,1542
30.5231459,11.26,2.7286,2212.3,506.0,15.46,5518.0,0.79,4.585,Kepler,1559
28.78270955,2.11,3.451,864.5,443.0,9.09,4774.0,0.745,4.58,Kepler,1561
4.539297295,2.34,1.9455,798.1,830.0,112.09,4914.0,0.724,4.61,Kepler,1571
124.03589939,11.13,4.8472,7690.0,413.0,6.88,5822.0,1.28,4.244,Kepler,1582
17.1181036,1.22,1.29,167.7,654.0,43.25,5576.0,0.929,4.515,Kepler,1604
8.29482811,2.76,2.7437,559.5,876.0,139.38,5773.0,0.939,4.478,Kepler,1605
10.240611361,3.9,0.9617,2958.0,656.0,43.85,5227.0,0.64,4.623,Kepler,1615
23.11707222,4.37,3.9948,2407.5,548.0,21.26,5275.0,0.796,4.505,Kepler,1621
4.77502117,1.73,1.7087,451.4,926.0,174.23,5275.0,0.796,4.505,Kepler,1622
5.69590202,6.61,3.5661,4921.1,1043.0,279.61,6106.0,0.94,4.497,Kepler,1625
2.64622742,0.99,1.407,155.5,1082.0,324.38,5167.0,0.787,4.555,Kepler,1643
6.69332825,2.44,2.311,781.8,609.0,32.54,4245.0,0.637,4.641,Kepler,1660
29.0726293,2.32,2.516,439.6,614.0,33.69,5799.0,1.042,4.37,Kepler,1671
6.6254781,0.9,2.358,122.0,828.0,111.18,5211.0,0.832,4.5,Kepler,1684
1.34145255,1.31,7.502,26.6,3015.0,19568.74,7495.0,2.389,3.926,Kepler,1706
14.97974335,3.79,4.126,1211.8,620.0,34.95,5062.0,0.853,4.481,Kepler,1719
6.7445683,0.86,3.813,86.6,983.0,220.68,6106.0,0.923,4.496,Kepler,1720
33.35859852,4.44,2.286,1825.9,459.0,10.46,5009.0,0.799,4.515,Kepler,1721
6.3143447,1.34,2.796,191.4,1012.0,247.53,6075.0,0.969,4.486,Kepler,1751
78.7327023,7.76,5.041,495.8,761.0,79.13,6715.0,2.763,3.754,Kepler,1752
42.3375799,1.45,4.924,354.8,311.0,2.21,4132.0,0.581,4.682,Kepler,1754
1.834277283,1.64,1.7499,286.5,1459.0,1068.36,5751.0,0.958,4.458,Kepler,1762
